name,monthly_income,monthly_card_spending,current_card,card_benefit_usage_rate,residence,age_group,occupation,age,gender,expense_ratio_food,expense_ratio_transport,expense_ratio_shopping,expense_ratio_subscription,expense_ratio_others
1,1958496,1275000,토스카드,42.0,서울 송파구,30,마케팅,33,남,36.0,32.0,1.0,6.0,25.0
2,1937406,916000,우리 Young카드,50.0,서울 송파구,30,마케팅,35,여,19.0,0.0,30.0,20.0,31.0
3,2694409,659000,씨티 Premier카드,51.0,서울 관악구,30,생산직,34,여,5.0,25.0,4.0,26.0,40.0
4,1913063,2140000,우리 Young카드,44.0,세종,30,컨설턴트,34,여,65.0,11.0,12.0,5.0,7.0
5,2806317,900000,토스카드,75.0,광주 서구,20,마케팅,20,남,20.0,28.0,12.0,15.0,25.0
6,2214439,1186000,롯데 DC카드,42.0,서울 관악구,20,영업,29,남,4.0,23.0,24.0,43.0,6.0
7,2292797,787000,이마트 KB카드,66.0,부산 해운대구,20,연구원,21,남,17.0,17.0,10.0,40.0,16.0
8,2360813,952000,NH 농협카드,49.0,경기 성남시,30,연구원,39,여,25.0,46.0,7.0,1.0,21.0
9,2886423,783000,NH 농협카드,60.0,대전 유성구,30,서비스직,37,여,28.0,3.0,26.0,32.0,11.0
10,2641579,1199000,현대 ZERO카드,74.0,경기 고양시,20,컨설턴트,22,여,36.0,28.0,2.0,10.0,24.0
11,3234538,1344000,이마트 KB카드,64.0,경기 고양시,30,개발자,35,남,7.0,11.0,41.0,5.0,36.0
12,2782394,1288000,이마트 KB카드,72.0,서울 성동구,30,프리랜서,33,여,41.0,3.0,2.0,15.0,39.0
13,2393955,717000,하나 Simple카드,57.0,부산 해운대구,30,연구원,39,여,3.0,17.0,2.0,31.0,47.0
14,3379542,1517000,KB 혜담카드,68.0,서울 송파구,30,영업,35,남,11.0,13.0,12.0,47.0,17.0
15,2763485,1913000,씨티 Premier카드,76.0,서울 노원구,30,서비스직,32,남,45.0,22.0,3.0,25.0,5.0
16,3001562,929000,현대 ZERO카드,51.0,경기 성남시,30,연구원,32,남,1.0,5.0,37.0,40.0,17.0
17,2112678,576000,KB 혜담카드,63.0,대전 유성구,20,마케팅,28,남,33.0,4.0,31.0,3.0,29.0
18,2271390,1351000,롯데 DC카드,44.0,서울 서초구,30,생산직,31,여,3.0,19.0,28.0,14.0,36.0
19,1905444,1132000,롯데 DC카드,76.0,부산 해운대구,20,연구원,25,남,13.0,2.0,15.0,35.0,35.0
20,2483845,2089000,이마트 KB카드,55.0,대전 유성구,20,공무원,27,남,4.0,11.0,9.0,44.0,32.0
21,2905302,1097000,롯데 DC카드,66.0,서울 동작구,20,개발자,28,여,50.0,1.0,33.0,3.0,13.0
22,3819771,2182000,하나 Simple카드,47.0,대전 유성구,30,컨설턴트,37,남,8.0,14.0,26.0,13.0,39.0
23,1621717,1427000,이마트 KB카드,72.0,울산 남구,20,디자이너,29,남,16.0,10.0,34.0,29.0,11.0
24,3902442,2615000,NH 농협카드,85.0,서울 강동구,30,공무원,30,남,43.0,21.0,16.0,4.0,16.0
25,2777289,852000,우리 Young카드,43.0,서울 성동구,30,기획,30,남,7.0,15.0,71.0,2.0,5.0
26,2550366,1039000,우리 Young카드,68.0,광주 서구,20,기획,20,여,5.0,15.0,8.0,11.0,61.0
27,1796892,1527000,씨티 Premier카드,43.0,서울 용산구,20,컨설턴트,26,남,12.0,19.0,34.0,12.0,23.0
28,2320989,1498000,네이버페이 현대,43.0,경기 고양시,20,연구원,22,여,29.0,6.0,1.0,27.0,37.0
29,2406861,1124000,카카오뱅크 체크,59.0,울산 남구,20,연구원,28,여,23.0,28.0,3.0,22.0,24.0
30,1960776,1602000,KB 혜담카드,52.0,세종,30,대학생,39,남,45.0,24.0,4.0,26.0,1.0
31,2804133,1122000,하나 Simple카드,58.0,인천 남동구,30,생산직,31,여,17.0,0.0,41.0,10.0,32.0
32,2922967,518000,우리 Young카드,72.0,경기 고양시,20,간호사,28,남,26.0,25.0,7.0,32.0,10.0
33,2162676,1339000,롯데 DC카드,69.0,서울 강남구,20,회계,28,남,13.0,39.0,8.0,22.0,18.0
34,2930084,1192000,씨티 Premier카드,68.0,서울 노원구,20,회계,28,여,9.0,40.0,30.0,16.0,5.0
35,2405153,1649000,IBK 두드림카드,47.0,경기 성남시,30,데이터분석가,36,여,4.0,8.0,37.0,34.0,17.0
36,2924792,1102000,네이버페이 현대,46.0,서울 노원구,30,프리랜서,34,여,10.0,44.0,13.0,2.0,31.0
